"id","declared_species_sources","callback_keys"
"adaptability","implemented-species","onModifySTAB"
"aerilate","implemented-species","onBasePower;onModifyType"
"aftermath","implemented-species","onDamagingHit"
"airlock","implemented-species","onEnd;onStart;onSwitchIn"
"analytic","implemented-species","onBasePower"
"angerpoint","implemented-species","onHit"
"angershell","implemented-species","onAfterMoveSecondary;onDamage;onTryEatItem"
"anticipation","data-only-species;implemented-species","onStart"
"arenatrap","implemented-species","onFoeMaybeTrapPokemon;onFoeTrapPokemon"
"armortail","implemented-species","onFoeTryMove"
"aromaveil","implemented-species","onAllyTryAddVolatile"
"asoneglastrier","data-only-species","onEnd;onFoeTryEatItem;onPreStart;onSourceAfterFaint"
"asonespectrier","data-only-species","onEnd;onFoeTryEatItem;onPreStart;onSourceAfterFaint"
"aurabreak","data-only-species","onAnyTryPrimaryHit;onStart"
"baddreams","data-only-species","onResidual"
"ballfetch","implemented-species",""
"battery","data-only-species","onAllyBasePower"
"battlearmor","data-only-species;implemented-species",""
"battlebond","implemented-species","onSourceAfterFaint"
"beadsofruin","data-only-species","onAnyModifySpD;onStart"
"beastboost","data-only-species;implemented-species","onSourceAfterFaint"
"berserk","implemented-species","onAfterMoveSecondary;onDamage;onTryEatItem"
"bigpecks","data-only-species;implemented-species","onTryBoost"
"blaze","implemented-species","onModifyAtk;onModifySpA"
"bulletproof","implemented-species","onTryHit"
"cheekpouch","implemented-species","onEatItem"
"chillingneigh","data-only-species","onSourceAfterFaint"
"chlorophyll","implemented-species","onModifySpe"
"clearbody","data-only-species;implemented-species","onTryBoost"
"cloudnine","implemented-species","onEnd;onStart;onSwitchIn"
"colorchange","implemented-species","onAfterMoveSecondary"
"comatose","implemented-species","onSetStatus;onStart"
"commander","implemented-species","onUpdate"
"competitive","implemented-species","onAfterEachBoost"
"compoundeyes","data-only-species;implemented-species","onSourceModifyAccuracy"
"contrary","data-only-species;implemented-species","onChangeBoost"
"corrosion","implemented-species",""
"costar","implemented-species","onStart"
"cottondown","implemented-species","onDamagingHit"
"cudchew","implemented-species","onEatItem;onEnd"
"curiousmedicine","implemented-species","onStart"
"cursedbody","implemented-species","onDamagingHit"
"cutecharm","data-only-species;implemented-species","onDamagingHit"
"damp","implemented-species","onAnyDamage;onAnyTryMove"
"dancer","data-only-species",""
"darkaura","data-only-species","onAnyBasePower;onStart"
"dauntlessshield","data-only-species","onStart"
"dazzling","implemented-species","onFoeTryMove"
"defeatist","implemented-species","onModifyAtk;onModifySpA"
"defiant","data-only-species;implemented-species","onAfterEachBoost"
"deltastream","implemented-species","onAnySetWeather;onEnd;onStart"
"desolateland","data-only-species","onAnySetWeather;onEnd;onStart"
"disguise","implemented-species","onCriticalHit;onDamage;onEffectiveness;onUpdate"
"download","data-only-species;implemented-species","onStart"
"dragonsmaw","implemented-species","onModifyAtk;onModifySpA"
"drizzle","data-only-species;implemented-species","onStart"
"drought","data-only-species;implemented-species","onStart"
"dryskin","data-only-species;implemented-species","onSourceBasePower;onTryHit;onWeather"
"earlybird","implemented-species",""
"eartheater","implemented-species","onTryHit"
"effectspore","implemented-species","onDamagingHit"
"electricsurge","data-only-species;implemented-species","onStart"
"electromorphosis","implemented-species","onDamagingHit"
"embodyaspectcornerstone","data-only-species","onStart;onSwitchIn"
"embodyaspecthearthflame","data-only-species","onStart;onSwitchIn"
"embodyaspectteal","data-only-species","onStart;onSwitchIn"
"embodyaspectwellspring","data-only-species","onStart;onSwitchIn"
"emergencyexit","implemented-species","onEmergencyExit"
"fairyaura","implemented-species","onAnyBasePower;onStart"
"filter","implemented-species","onSourceModifyDamage"
"flamebody","data-only-species;implemented-species","onDamagingHit"
"flareboost","implemented-species","onBasePower"
"flashfire","data-only-species;implemented-species","onEnd;onTryHit"
"flowergift","implemented-species","onAllyModifyAtk;onAllyModifySpD;onStart;onWeatherChange"
"flowerveil","implemented-species","onAllySetStatus;onAllyTryAddVolatile;onAllyTryBoost"
"fluffy","data-only-species;implemented-species","onSourceModifyDamage"
"forecast","data-only-species","onStart;onWeatherChange"
"forewarn","implemented-species","onStart"
"friendguard","implemented-species","onAnyModifyDamage"
"frisk","data-only-species;implemented-species","onStart"
"fullmetalbody","data-only-species","onTryBoost"
"furcoat","implemented-species","onModifyDef"
"galewings","implemented-species","onModifyPriority"
"galvanize","implemented-species","onBasePower;onModifyType"
"gluttony","data-only-species;implemented-species","onDamage;onStart"
"goodasgold","implemented-species","onTryHit"
"gooey","implemented-species","onDamagingHit"
"gorillatactics","implemented-species","onBeforeMove;onDisableMove;onEnd;onModifyAtk;onModifyMove;onStart"
"grasspelt","implemented-species","onModifyDef"
"grassysurge","data-only-species;implemented-species","onStart"
"grimneigh","data-only-species","onSourceAfterFaint"
"guarddog","data-only-species;implemented-species","onDragOut;onTryBoost"
"gulpmissile","implemented-species","onDamagingHit;onSourceTryPrimaryHit"
"guts","implemented-species","onModifyAtk"
"hadronengine","data-only-species","onModifySpA;onStart"
"harvest","implemented-species","onResidual"
"healer","implemented-species","onResidual"
"heatproof","implemented-species","onDamage;onSourceModifyAtk;onSourceModifySpA"
"heavymetal","implemented-species","onModifyWeight"
"honeygather","implemented-species",""
"hospitality","implemented-species","onStart"
"hugepower","implemented-species","onModifyAtk"
"hungerswitch","implemented-species","onResidual"
"hustle","implemented-species","onModifyAtk;onSourceModifyAccuracy"
"hydration","data-only-species;implemented-species","onResidual"
"hypercutter","implemented-species","onTryBoost"
"icebody","data-only-species;implemented-species","onImmunity;onWeather"
"iceface","implemented-species","onCriticalHit;onDamage;onEffectiveness;onStart;onUpdate;onWeatherChange"
"icescales","implemented-species","onSourceModifyDamage"
"illuminate","implemented-species","onModifyMove;onTryBoost"
"illusion","implemented-species","onBeforeSwitchIn;onDamagingHit;onEnd;onFaint"
"immunity","implemented-species","onSetStatus;onUpdate"
"imposter","implemented-species","onStart;onSwitchIn"
"infiltrator","implemented-species","onModifyMove"
"innardsout","implemented-species","onDamagingHit"
"innerfocus","data-only-species;implemented-species","onTryAddVolatile;onTryBoost"
"insomnia","implemented-species","onSetStatus;onTryAddVolatile;onUpdate"
"intimidate","data-only-species;implemented-species","onStart"
"intrepidsword","data-only-species","onStart"
"ironbarbs","implemented-species","onDamagingHit"
"ironfist","data-only-species;implemented-species","onBasePower"
"justified","data-only-species;implemented-species","onDamagingHit"
"keeneye","data-only-species;implemented-species","onModifyMove;onTryBoost"
"klutz","implemented-species","onStart"
"leafguard","implemented-species","onSetStatus;onTryAddVolatile"
"levitate","data-only-species;implemented-species",""
"libero","implemented-species","onPrepareHit;onSwitchIn"
"lightmetal","implemented-species","onModifyWeight"
"lightningrod","implemented-species","onAnyRedirectTarget;onTryHit"
"limber","implemented-species","onSetStatus;onUpdate"
"lingeringaroma","implemented-species","onDamagingHit"
"liquidooze","data-only-species;implemented-species","onSourceTryHeal"
"liquidvoice","implemented-species","onModifyType"
"longreach","implemented-species","onModifyMove"
"magicbounce","data-only-species;implemented-species","onAllyTryHitSide;onTryHit"
"magicguard","implemented-species","onDamage"
"magician","data-only-species;implemented-species","onAfterMoveSecondarySelf"
"magmaarmor","implemented-species","onImmunity;onUpdate"
"magnetpull","data-only-species;implemented-species","onFoeMaybeTrapPokemon;onFoeTrapPokemon"
"marvelscale","implemented-species","onModifyDef"
"megalauncher","implemented-species","onBasePower"
"merciless","implemented-species","onModifyCritRatio"
"mimicry","implemented-species","onStart;onTerrainChange"
"mindseye","implemented-species","onModifyMove;onTryBoost"
"minus","implemented-species","onModifySpA"
"mirrorarmor","implemented-species","onTryBoost"
"mistysurge","data-only-species;implemented-species","onStart"
"moldbreaker","data-only-species;implemented-species","onModifyMove;onStart"
"moody","implemented-species","onResidual"
"motordrive","implemented-species","onTryHit"
"mountaineer","","onDamage;onTryHit"
"moxie","implemented-species","onSourceAfterFaint"
"multiscale","implemented-species","onSourceModifyDamage"
"multitype","data-only-species",""
"mummy","implemented-species","onDamagingHit"
"myceliummight","implemented-species","onFractionalPriority;onModifyMove"
"naturalcure","data-only-species;implemented-species","onCheckShow;onSwitchOut"
"neuroforce","data-only-species","onModifyDamage"
"neutralizinggas","implemented-species","onEnd;onPreStart"
"noability","",""
"noguard","implemented-species","onAnyAccuracy;onAnyInvulnerability"
"normalize","implemented-species","onBasePower;onModifyType"
"oblivious","implemented-species","onImmunity;onTryBoost;onTryHit;onUpdate"
"opportunist","implemented-species","onFoeAfterBoost"
"orichalcumpulse","data-only-species","onModifyAtk;onStart"
"overcoat","data-only-species;implemented-species","onImmunity;onTryHit"
"overgrow","implemented-species","onModifyAtk;onModifySpA"
"owntempo","implemented-species","onHit;onTryAddVolatile;onTryBoost;onUpdate"
"parentalbond","implemented-species","onPrepareHit;onSourceModifySecondaries"
"pastelveil","implemented-species","onAllySetStatus;onAllySwitchIn;onSetStatus;onStart;onUpdate"
"perishbody","implemented-species","onDamagingHit"
"persistent","",""
"pickpocket","implemented-species","onAfterMoveSecondary"
"pickup","data-only-species;implemented-species","onResidual"
"pixilate","implemented-species","onBasePower;onModifyType"
"plus","implemented-species","onModifySpA"
"poisonheal","implemented-species","onDamage"
"poisonpoint","implemented-species","onDamagingHit"
"poisonpuppeteer","data-only-species","onAnyAfterSetStatus"
"poisontouch","data-only-species;implemented-species","onSourceDamagingHit"
