"showdown_id","native_name_candidate","callback_keys","dependency"
"abilityshield","cobblemon:ability_shield","onSetAbility",""
"abomasite","","onTakeItem","Mega"
"absolite","","onTakeItem","Mega"
"absorbbulb","cobblemon:absorb_bulb","onDamagingHit",""
"adamantcrystal","","onBasePower;onTakeItem",""
"adamantorb","","onBasePower",""
"adrenalineorb","","onAfterBoost",""
"aerodactylite","","onTakeItem","Mega"
"aggronite","","onTakeItem","Mega"
"aguavberry","cobblemon:aguav_berry","onEat;onTryEatItem;onUpdate",""
"airballoon","cobblemon:air_balloon","onAfterSubDamage;onDamagingHit;onStart",""
"alakazite","","onTakeItem","Mega"
"aloraichiumz","","","Z"
"altarianite","","onTakeItem","Mega"
"ampharosite","","onTakeItem","Mega"
"apicotberry","cobblemon:apicot_berry","onEat;onUpdate",""
"armorfossil","cobblemon:armor_fossil","",""
"aspearberry","cobblemon:aspear_berry","onEat;onUpdate",""
"assaultvest","cobblemon:assault_vest","onDisableMove;onModifySpD",""
"audinite","","onTakeItem","Mega"
"auspiciousarmor","cobblemon:auspicious_armor","",""
"babiriberry","cobblemon:babiri_berry","onEat;onSourceModifyDamage",""
"banettite","","onTakeItem","Mega"
"beastball","cobblemon:beast_ball","",""
"beedrillite","","onTakeItem","Mega"
"belueberry","cobblemon:belue_berry","",""
"berryjuice","cobblemon:berry_juice","onUpdate",""
"berrysweet","cobblemon:berry_sweet","",""
"bignugget","","",""
"bigroot","cobblemon:big_root","onTryHeal",""
"bindingband","cobblemon:binding_band","",""
"blackbelt","cobblemon:black_belt","onBasePower",""
"blackglasses","cobblemon:black_glasses","onBasePower",""
"blacksludge","cobblemon:black_sludge","onResidual",""
"blastoisinite","","onTakeItem","Mega"
"blazikenite","","onTakeItem","Mega"
"blueorb","","onPrimal;onSwitchIn;onTakeItem",""
"blukberry","cobblemon:bluk_berry","",""
"blunderpolicy","cobblemon:blunder_policy","",""
"boosterenergy","","onStart;onTakeItem;onUpdate",""
"bottlecap","","",""
"brightpowder","cobblemon:bright_powder","onModifyAccuracy",""
"buggem","cobblemon:bug_gem","onSourceTryPrimaryHit",""
"bugmemory","","onTakeItem",""
"buginiumz","","","Z"
"burndrive","","onTakeItem",""
"cameruptite","","onTakeItem","Mega"
"cellbattery","cobblemon:cell_battery","onDamagingHit",""
"charcoal","","onBasePower",""
"charizarditex","","onTakeItem","Mega"
"charizarditey","","onTakeItem","Mega"
"chartiberry","cobblemon:charti_berry","onEat;onSourceModifyDamage",""
"cheriberry","cobblemon:cheri_berry","onEat;onUpdate",""
"cherishball","cobblemon:cherish_ball","",""
"chestoberry","cobblemon:chesto_berry","onEat;onUpdate",""
"chilanberry","cobblemon:chilan_berry","onEat;onSourceModifyDamage",""
"chilldrive","","onTakeItem",""
"chippedpot","cobblemon:chipped_pot","",""
"choiceband","cobblemon:choice_band","onModifyAtk;onModifyMove;onStart",""
"choicescarf","cobblemon:choice_scarf","onModifyMove;onModifySpe;onStart",""
"choicespecs","cobblemon:choice_specs","onModifyMove;onModifySpA;onStart",""
