"id","category","type","declared_learn_sources","special_system","mechanism_hints"
"10000000voltthunderbolt","Special","Electric","","Z","settlement;special-system"
"absorb","Special","Grass","data-only:level;implemented:egg;implemented:level","","health-operation;settlement"
"accelerock","Physical","Rock","implemented:level","","settlement;timing"
"acid","Special","Poison","data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement;state"
"acidarmor","Status","Poison","data-only:egg;data-only:level;implemented:egg;implemented:level;implemented:tm","","state"
"aciddownpour","Physical","Poison","","Z","settlement;special-system"
"acidspray","Special","Poison","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;state"
"acrobatics","Physical","Flying","data-only:legacy;data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;settlement"
"acupressure","Status","Normal","implemented:egg;implemented:level","","custom-callback-review"
"aerialace","Physical","Flying","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement"
"aeroblast","Special","Flying","implemented:level","","settlement"
"afteryou","Status","Normal","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review"
"agility","Status","Psychic","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","state"
"aircutter","Special","Flying","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement"
"airslash","Special","Flying","data-only:level;data-only:tm;implemented:egg;implemented:form_change;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"alloutpummeling","Physical","Fighting","","Z","settlement;special-system"
"alluringvoice","Special","Fairy","data-only:tm;implemented:tm","","settlement;state"
"allyswitch","Status","Psychic","data-only:egg;data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;timing"
"amnesia","Status","Psychic","data-only:legacy;data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","state"
"anchorshot","Physical","Steel","implemented:level","","settlement;state"
"ancientpower","Special","Rock","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"appleacid","Special","Grass","implemented:level","","settlement;state"
"aquacutter","Physical","Water","implemented:egg;implemented:level","","settlement"
"aquajet","Physical","Water","data-only:level;implemented:egg;implemented:level","","settlement;timing"
"aquaring","Status","Water","data-only:level;data-only:special;implemented:egg;implemented:level","","state"
"aquastep","Physical","Water","implemented:level","","settlement;state"
"aquatail","Physical","Water","data-only:egg;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement"
"armorcannon","Special","Fire","implemented:level","","settlement;state"
"armthrust","Physical","Fighting","data-only:level;implemented:level","","settlement;timing"
"aromatherapy","Status","Grass","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:special;implemented:tm","","custom-callback-review"
"aromaticmist","Status","Fairy","data-only:level;implemented:egg;implemented:level","","state"
"assist","Status","Normal","implemented:egg;implemented:level","","custom-callback-review"
"assurance","Physical","Dark","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;settlement"
"astonish","Physical","Ghost","data-only:level;implemented:egg;implemented:level","","settlement;state"
"astralbarrage","Special","Ghost","data-only:level","","settlement"
"attackorder","Physical","Bug","implemented:level","","settlement"
"attract","Status","Normal","data-only:egg;data-only:legacy;data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;state"
"aurasphere","Special","Fighting","data-only:level;data-only:tm;implemented:legacy;implemented:level;implemented:special;implemented:tm","","settlement"
"aurawheel","Physical","Electric","implemented:level","","custom-callback-review;settlement;state"
"aurorabeam","Special","Ice","data-only:level;implemented:egg;implemented:legacy;implemented:level","","settlement;state"
"auroraveil","Status","Ice","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;field"
"autotomize","Status","Steel","data-only:level;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;state"
"avalanche","Physical","Ice","data-only:legacy;data-only:level;data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement;timing"
"axekick","Physical","Fighting","implemented:level","","custom-callback-review;settlement;state"
"babydolleyes","Status","Fairy","data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:tm;implemented:tutor","","state;timing"
"baddybad","Special","Dark","","","settlement;state"
"banefulbunker","Status","Poison","implemented:level","","custom-callback-review;state;timing"
"barbbarrage","Physical","Poison","implemented:egg;implemented:level","","custom-callback-review;settlement;state"
"barrage","Physical","Normal","implemented:level","","settlement;timing"
"barrier","Status","Psychic","implemented:egg;implemented:legacy;implemented:level;implemented:special","","state"
"batonpass","Status","Normal","data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","custom-callback-review;state;switch"
"beakblast","Physical","Flying","implemented:level","","custom-callback-review;settlement;timing"
"beatup","Physical","Dark","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;settlement"
"behemothbash","Physical","Steel","","","settlement"
"behemothblade","Physical","Steel","","","settlement"
"belch","Special","Poison","data-only:level;implemented:egg;implemented:level","","custom-callback-review;settlement"
"bellydrum","Status","Normal","data-only:level;implemented:egg;implemented:level;implemented:special;implemented:tm","","custom-callback-review"
"bestow","Status","Normal","data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"bide","Physical","Normal","data-only:level;implemented:egg;implemented:legacy;implemented:level","","custom-callback-review;settlement;state;timing"
"bind","Physical","Normal","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"bite","Physical","Dark","data-only:level;implemented:egg;implemented:level","","settlement;state"
"bitterblade","Physical","Fire","implemented:level","","health-operation;settlement"
"bittermalice","Special","Ghost","implemented:level","","settlement;state"
"blackholeeclipse","Physical","Dark","","Z","settlement;special-system"
"blastburn","Special","Fire","data-only:special;data-only:tutor;implemented:special;implemented:tm;implemented:tutor","","settlement;state;timing"
"blazekick","Physical","Fire","data-only:tm;implemented:level;implemented:tm","","settlement;state"
"blazingtorque","Physical","Fire","","","settlement;state"
"bleakwindstorm","Special","Flying","data-only:level","","custom-callback-review;settlement;state"
"blizzard","Special","Ice","data-only:level;data-only:tm;implemented:form_change;implemented:level;implemented:tm","","custom-callback-review;settlement;state"
"block","Status","Normal","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:level;implemented:special;implemented:tm;implemented:tutor","","custom-callback-review"
"bloodmoon","Special","Normal","implemented:level","","settlement"
"bloomdoom","Physical","Grass","","Z","settlement;special-system"
"blueflare","Special","Fire","data-only:level;data-only:special","","settlement;state"
"bodypress","Physical","Fighting","data-only:level;data-only:tm;implemented:level;implemented:tm","","settlement"
"bodyslam","Physical","Normal","data-only:legacy;data-only:level;data-only:tm;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"boltbeak","Physical","Electric","implemented:level","","custom-callback-review;settlement"
"boltstrike","Physical","Electric","data-only:level;data-only:special","","settlement;state"
"boneclub","Physical","Ground","implemented:level","","settlement;state"
"bonemerang","Physical","Ground","implemented:level","","settlement;timing"
"bonerush","Physical","Ground","data-only:level;implemented:level","","settlement;timing"
"boomburst","Special","Normal","data-only:level;implemented:egg;implemented:level;implemented:tm","","settlement"
"bounce","Physical","Flying","data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement;state;timing"
"bouncybubble","Special","Water","","","health-operation;settlement"
"branchpoke","Physical","Grass","implemented:level","","settlement"
"bravebird","Physical","Flying","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","health-operation;settlement"
"breakingswipe","Physical","Dragon","data-only:legacy;data-only:level;data-only:tm;implemented:level;implemented:tm","","settlement;state"
"breakneckblitz","Physical","Normal","","Z","settlement;special-system"
"brickbreak","Physical","Fighting","data-only:level;data-only:tm;implemented:level;implemented:tm","","custom-callback-review;settlement"
"brine","Special","Water","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","custom-callback-review;settlement"
"brutalswing","Physical","Dark","data-only:level;data-only:tm;implemented:level;implemented:tm","","settlement"
"bubble","Special","Water","data-only:level;implemented:egg;implemented:level","","settlement;state"
"bubblebeam","Special","Water","data-only:level;implemented:egg;implemented:legacy;implemented:level;implemented:tm","","settlement;state"
"bugbite","Physical","Bug","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:egg;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","custom-callback-review;settlement"
"bugbuzz","Special","Bug","data-only:level;data-only:tm;implemented:level;implemented:tm","","settlement;state"
"bulkup","Status","Fighting","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","state"
"bulldoze","Physical","Ground","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"bulletpunch","Physical","Steel","implemented:egg;implemented:level","","settlement;timing"
"bulletseed","Physical","Grass","data-only:tm;implemented:egg;implemented:level;implemented:tm","","settlement;timing"
"burningbulwark","Status","Fire","data-only:level","","custom-callback-review;state;timing"
"burningjealousy","Special","Fire","data-only:tm;data-only:tutor;implemented:tm;implemented:tutor","","settlement;state"
"burnup","Special","Fire","implemented:egg;implemented:level;implemented:tm","","custom-callback-review;settlement;state"
"buzzybuzz","Special","Electric","","","settlement;state"
"calmmind","Status","Psychic","data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","state"
"camouflage","Status","Normal","data-only:egg;data-only:level;implemented:egg;implemented:level","","custom-callback-review"
"captivate","Status","Normal","data-only:egg;data-only:legacy;data-only:level;implemented:egg;implemented:legacy;implemented:level","","custom-callback-review;state"
"catastropika","Physical","Electric","","Z","settlement;special-system"
"ceaselessedge","Physical","Dark","implemented:level","","custom-callback-review;settlement;state"
"celebrate","Status","Normal","data-only:special;implemented:legacy;implemented:special","","custom-callback-review"
"charge","Status","Electric","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:tm","","state"
"chargebeam","Special","Electric","data-only:legacy;data-only:level;data-only:tm;data-only:tutor;implemented:legacy;implemented:level;implemented:tm;implemented:tutor","","settlement;state"
"charm","Status","Fairy","data-only:level;data-only:tm;implemented:egg;implemented:level;implemented:special;implemented:tm","","state"
"chatter","Special","Flying","implemented:level","","settlement;state"
"chillingwater","Special","Water","data-only:tm;implemented:tm","","settlement;state"
"chillyreception","Status","Ice","implemented:level","","field;switch"
"chipaway","Physical","Normal","implemented:egg;implemented:level","","settlement"
"chloroblast","Special","Grass","implemented:level","","settlement"
